company_code,news_id,sentiment_score,sentiment_level
MMM,230,0.000000,Neutral
BMY,230,0.000000,Neutral
CHTR,231,0.509541,Bullish
MMM,231,0.235642,Somewhat-Bullish
DECK,231,0.481450,Bullish
BMY,231,0.226422,Somewhat-Bullish
C,232,0.083193,Neutral
MMM,232,0.000000,Neutral
WFC,232,0.083193,Neutral
MMM,233,0.000000,Neutral
WFC,233,0.000000,Neutral
MMM,234,0.000000,Neutral
HWM,234,0.329399,Somewhat-Bullish
MMM,235,0.453010,Bullish
HON,235,0.238067,Somewhat-Bullish
DHR,235,0.238067,Somewhat-Bullish
GEV,236,0.059640,Neutral
IVZ,236,0.165367,Somewhat-Bullish
MMM,236,0.059640,Neutral
GE,236,0.059640,Neutral
MMM,237,0.000000,Neutral
HON,237,0.426139,Bullish
MMM,238,0.276409,Somewhat-Bullish
AXP,238,0.096791,Neutral
MMM,239,0.061217,Neutral
AMGN,239,0.106191,Neutral
UNH,239,0.061217,Neutral
FICO,239,0.112411,Neutral
NVDA,240,0.153139,Somewhat-Bullish
AAPL,240,0.173287,Somewhat-Bullish
TJX,240,0.114460,Neutral
JNJ,240,0.114460,Neutral
MMM,240,0.042323,Neutral
MSFT,240,0.210634,Somewhat-Bullish
QCOM,240,0.109748,Neutral
PG,240,0.031315,Neutral
XOM,240,0.210634,Somewhat-Bullish
ADBE,240,0.042323,Neutral
LRCX,240,0.117620,Neutral
ROST,240,0.114460,Neutral
AXP,240,0.114460,Neutral
GILD,240,0.042323,Neutral
WMT,240,0.042323,Neutral
MMM,241,0.000000,Neutral
ALLE,242,0.000000,Neutral
MMM,242,0.000000,Neutral
DHR,242,0.426965,Bullish
GS,243,0.069241,Neutral
MMM,243,0.069241,Neutral
AAPL,243,0.069241,Neutral
SOLV,244,0.173494,Somewhat-Bullish
MMM,244,0.173494,Somewhat-Bullish
ROK,244,-0.034324,Neutral
MMM,245,0.459749,Bullish
META,245,0.220296,Somewhat-Bullish
GEV,246,0.069039,Neutral
IVZ,246,0.087822,Neutral
MMM,246,0.069039,Neutral
GE,246,0.069039,Neutral
